Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1952,-0.75,-0.45,0.24,-0.05,0.57,0.25,0.65,0.68,0.22,0.32,0.23,1.53
1953,1.18,1.01,-0.58,0.75,0.23,0.31,0.28,-0.36,-0.53,-0.59,0.28,0.99
1954,0.99,1.24,1.16,0.25,1.09,1.35,2.02,1.08,0.35,0.01,0.04,0.5
1955,1.52,1.93,1.34,1.37,0.45,1.05,1.09,1.41,0.95,0.66,1.01,1.97
1956,1.54,2.05,1.77,2.19,1.0,1.07,0.61,0.36,0.15,0.75,0.84,0.75
1957,0.03,-1.26,-0.65,-0.95,-0.37,-0.73,0.33,0.62,0.58,0.91,0.45,0.05
1958,0.7,1.49,2.13,2.18,3.28,3.22,1.29,1.43,1.07,0.64,0.39,-0.46
1959,-0.21,-0.7,-1.72,-1.43,-0.1,-0.19,-0.24,0.07,-0.2,-0.52,-0.05,-0.09
1960,0.35,0.46,-0.2,0.37,-0.02,0.29,-0.32,0.04,0.01,0.1,-0.51,-0.6
1961,-0.31,-0.31,-0.37,-0.02,-0.43,0.46,0.61,0.72,-0.68,-0.31,0.48,0.84
1962,0.27,-0.05,0.12,-0.32,-0.85,-1.0,-0.59,-0.83,-0.59,-0.8,0.05,0.59
1963,0.39,0.19,-1.2,-1.25,-1.78,-2.15,-2.1,-2.16,-1.93,-1.7,-2.29,-2.57
1964,-2.44,-1.35,-1.39,-0.86,-0.41,-0.34,-0.2,-0.21,0.9,1.49,0.94,1.35
1965,0.57,-0.44,-0.74,-0.83,-0.77,-0.42,0.47,0.07,-0.4,-0.03,0.32,0.62
1966,0.74,1.65,1.72,-0.11,-0.42,-1.68,-0.67,0.29,-0.09,-0.1,-0.39,-1.22
1967,0.04,-0.58,0.27,0.88,1.18,1.61,1.59,1.29,0.93,1.38,0.77,0.16
1968,0.04,0.83,1.13,-0.34,-0.54,-1.1,-1.83,-1.67,-2.08,-2.32,-2.14,-2.09
1969,-1.01,-1.18,0.02,-0.65,-0.19,-0.05,0.51,-0.57,0.11,-0.1,0.53,1.53
1970,1.46,1.25,1.04,0.88,0.78,0.58,0.16,0.59,0.14,0.45,0.44,0.67
1971,0.14,-0.02,-0.06,-0.22,-0.73,-0.45,-0.05,-0.12,-0.19,0.29,1.2,1.34
1972,-0.85,-0.83,-0.53,-1.05,-0.93,-0.88,-1.14,-1.25,-1.54,-1.42,-1.89,-3.8
1973,-3.3,-3.26,-2.78,-2.33,-2.43,-1.75,-1.81,-1.7,-2.06,-2.16,-1.96,-1.12
1974,-0.99,-0.48,-1.07,-2.17,-2.47,-2.41,-2.66,-2.18,-1.41,-0.39,-0.68,-0.44
1975,0.04,-0.52,-0.28,-0.17,-1.04,-1.47,-0.3,0.12,0.5,0.05,-0.48,1.17
1976,1.64,1.43,1.2,1.42,1.23,0.88,0.84,1.31,1.03,1.09,1.28,-0.11
1977,0.21,-0.21,-0.12,0.27,0.58,1.08,1.09,0.27,-0.06,0.23,0.3,0.06
1978,0.53,0.96,1.6,1.88,1.84,0.92,0.71,0.51,0.53,1.01,0.84,-0.23
1979,0.11,0.83,1.15,0.16,0.38,0.41,0.24,-0.42,-0.12,0.21,0.1,0.1
1980,0.44,1.09,0.96,0.84,0.9,1.18,0.43,-0.3,-0.81,-0.04,0.53,1.72
1981,1.77,1.87,2.88,1.83,1.96,1.06,1.13,0.34,-0.22,-0.5,-0.18,1.23
1982,0.9,0.95,1.06,1.5,1.65,1.21,0.82,1.14,0.66,-0.67,-0.31,-0.59
1983,-1.63,-0.48,1.64,1.67,1.79,1.91,2.05,0.86,-0.16,0.18,0.33,-0.72
1984,-1.89,-1.79,-1.98,-1.53,-0.29,-0.97,-1.39,-1.51,-1.99,-1.76,-1.5,-1.15
1985,-1.19,-1.82,-0.52,-0.58,-0.98,-0.25,-0.81,-1.0,-0.79,-1.35,-1.61,-1.99
1986,-1.29,-1.82,-1.46,-1.3,-1.17,-1.38,-0.88,-1.14,-0.91,-1.14,-0.77,-0.89
1987,-0.4,-0.54,0.1,0.63,-0.15,-0.49,-0.9,-0.85,-1.23,-1.08,-1.72,-0.71
1988,-1.13,-1.54,-1.48,-0.54,-1.03,-0.98,-0.34,-1.39,-0.74,-0.87,-0.32,-0.07
1989,-1.11,-0.79,-1.31,-1.08,-0.79,0.08,0.4,-0.15,-0.35,-0.24,0.56,0.94
1990,0.55,-0.98,-1.16,-0.75,0.36,0.03,0.53,0.61,0.62,0.37,-0.18,-0.42
1991,-0.35,-0.14,-0.15,-1.01,-1.4,-1.4,-0.91,0.09,0.5,0.57,0.98,0.17
1992,1.12,0.99,1.15,1.61,2.03,2.42,1.27,0.88,0.91,1.33,1.89,0.43
1993,0.09,0.42,0.09,-0.5,0.44,0.23,-0.54,-0.29,-1.63,-2.09,-2.31,-1.42
1994,-0.92,-0.71,-1.02,-1.04,-0.91,0.22,0.4,0.07,0.3,0.21,-0.64,-1.33
1995,-1.09,-1.48,-1.68,-0.87,-0.41,-0.47,-0.15,0.44,0.22,0.7,0.44,0.56
1996,0.58,-0.27,-0.07,-0.57,-0.77,-1.35,-0.77,-0.25,0.26,0.36,0.67,1.4
1997,2.01,2.26,2.4,2.61,2.45,2.65,1.34,0.57,-0.19,-0.87,-1.32,-2.15
1998,-0.89,-0.9,-0.5,-0.4,-0.42,-0.69,-0.82,0.04,-0.36,0.4,0.18,0.39
1999,0.2,0.39,0.25,-0.47,-0.39,-0.26,-0.88,-0.67,-0.12,-0.33,-0.82,-0.09
2000,0.11,-0.23,0.36,0.09,0.21,-0.09,0.33,0.13,0.54,0.18,0.47,0.44
2001,0.28,0.18,0.1,-0.45,-0.67,0.0,0.51,0.58,0.76,0.31,0.62,1.1
2002,1.52,1.19,-0.01,-0.45,-0.95,-0.63,-0.86,0.27,0.51,-0.06,0.28,-0.86
2003,-1.07,-1.03,-1.16,-0.65,-0.6,0.08,-0.52,-0.52,-0.49,0.04,-0.71,-0.32
2004,0.57,0.63,1.53,2.08,1.33,0.9,0.59,0.52,-0.21,0.67,-0.03,-0.72
2005,-0.78,-0.26,0.08,0.93,2.08,2.41,2.1,1.24,1.34,0.72,0.83,1.42
2006,1.29,0.68,0.43,1.01,1.44,0.81,0.78,0.63,0.37,0.59,1.12,0.02
2007,0.41,0.49,0.98,0.36,0.17,-0.12,-0.01,-0.14,-0.04,0.48,0.96,0.76
2008,0.68,-0.13,-0.42,-0.69,-0.93,-0.46,-0.56,-0.59,-0.11,0.22,0.29,0.29
2009,0.16,-0.04,-0.22,-0.3,-1.29,-0.51,-0.13,-0.17,-0.53,-0.56,-0.48,-1.4
2010,-0.64,-0.18,-0.48,0.54,0.8,-0.52,-0.07,0.26,0.35,-0.01,0.4,1.09
2011,1.21,0.2,-0.67,-0.08,0.74,0.84,0.38,0.24,-0.39,-0.29,0.47,2.18
2012,1.81,2.33,0.87,2.08,1.52,1.65,1.76,1.9,1.61,1.53,1.23,0.21
2013,0.15,0.28,0.79,0.31,0.18,0.64,0.72,0.5,1.26,1.09,0.5,0.23
2014,0.3,-0.32,0.21,-0.19,-0.71,-0.51,0.77,0.62,-0.15,0.19,1.05,1.11
2015,-0.53,-0.25,0.25,-0.6,-0.77,-0.13,0.06,0.76,0.53,0.02,-0.95,-1.95
2016,-2.03,-1.49,-1.03,-0.37,0.1,-0.76,-0.87,-0.67,-0.64,-0.82,0.39,-1.02
2017,-0.27,0.98,0.51,-0.02,-0.39,-0.68,0.0,-0.54,0.37,0.21,0.8,1.34
2018,-0.03,1.11,0.84,0.32,-0.03,-0.86,-0.63,-0.35,0.08,-0.69,-0.82,-1.44
2019,-0.98,-0.95,-1.87,-1.34,-1.11,-0.65,-0.35,-0.44,-0.58,-0.82,-2.19,-2.11
2020,-2.3,-1.24,-0.7,-0.69,-1.22,-0.28,-0.46,-0.26,0.42,0.3,0.25,1.49
2021,1.21,1.64,0.74,0.04,-0.77,-1.36,-1.77,-1.46,-0.25,-0.41,-0.22,1.04
2022,0.21,-0.64,-0.62,0.08,0.66,-0.1,0.66,0.91,1.01,0.39,-0.78,-0.44
